visual/JJ materials/NNS to/TO from/IN Japan/NNP to/TO visualmaterials/JJNNS materialsto/NNSTO tofrom/TOIN fromJapan/INNNP Japanto/NNPTO visualmaterialsto/JJNNSTO materialstofrom/NNSTOIN tofromJapan/TOINNNP fromJapanto/INNNPTO 77 audience%1:14:01::
seen/VBN by/IN an/DT until/IN at/IN least/JJS seenby/VBNIN byan/INDT anuntil/DTIN untilat/ININ atleast/INJJS seenbyan/VBNINDT byanuntil/INDTIN anuntilat/DTININ untilatleast/ININJJS 74 audience%1:14:00::
are/VBP not/RB making/VBG contact/NN early/RB enough/RB arenot/VBPRB notmaking/RBVBG makingcontact/VBGNN contactearly/NNRB earlyenough/RBRB arenotmaking/VBPRBVBG notmakingcontact/RBVBGNN makingcontactearly/VBGNNRB contactearlyenough/NNRBRB 81 audience%1:14:00::
this/DT gives/VBZ good/JJ experience/NN away/RB from/IN thisgives/DTVBZ givesgood/VBZJJ goodexperience/JJNN experienceaway/NNRB awayfrom/RBIN thisgivesgood/DTVBZJJ givesgoodexperience/VBZJJNN goodexperienceaway/JJNNRB experienceawayfrom/NNRBIN 123 audience%1:14:00::
muster/VB a/DT large/JJ of/IN course/NN but/CC mustera/VBDT alarge/DTJJ largeof/JJIN ofcourse/INNN coursebut/NNCC musteralarge/VBDTJJ alargeof/DTJJIN largeofcourse/JJINNN ofcoursebut/INNNCC 86 audience%1:14:00::
muster/VB a/DT large/JJ of/IN course/NN but/CC mustera/VBDT alarge/DTJJ largeof/JJIN ofcourse/INNN coursebut/NNCC musteralarge/VBDTJJ alargeof/DTJJIN largeofcourse/JJINNN ofcoursebut/INNNCC 86 audience%1:14:01::
you/PRP need/VBP new/JJ experience/NN now/RB you/PRP youneed/PRPVBP neednew/VBPJJ newexperience/JJNN experiencenow/NNRB nowyou/RBPRP youneednew/PRPVBPJJ neednewexperience/VBPJJNN newexperiencenow/JJNNRB experiencenowyou/NNRBPRP 97 audience%1:14:00::
you/PRP need/VBP new/JJ experience/NN now/RB you/PRP youneed/PRPVBP neednew/VBPJJ newexperience/JJNN experiencenow/NNRB nowyou/RBPRP youneednew/PRPVBPJJ neednewexperience/VBPJJNN newexperiencenow/JJNNRB experiencenowyou/NNRBPRP 97 audience%1:14:01::
play/VB to/TO an/DT that/WDT is/VBZ present/JJ playto/VBTO toan/TODT anthat/DTWDT thatis/WDTVBZ ispresent/VBZJJ playtoan/VBTODT toanthat/TODTWDT anthatis/DTWDTVBZ thatispresent/WDTVBZJJ 40 audience%1:14:00::
of/IN their/PRP$ potential/NN however/RB _/FW _/FW oftheir/INPRP$ theirpotential/PRP$NN potentialhowever/NNRB however_/RBFW __/FWFW oftheirpotential/INPRP$NN theirpotentialhowever/PRP$NNRB potentialhowever_/NNRBFW however__/RBFWFW 72 U
_/VB The/DT small/JJ had/VBD begun/VBN to/TO _The/VBDT Thesmall/DTJJ smallhad/JJVBD hadbegun/VBDVBN begunto/VBNTO _Thesmall/VBDTJJ Thesmallhad/DTJJVBD smallhadbegun/JJVBDVBN hadbegunto/VBDVBNTO 83 audience%1:14:00::
Not/RB a/DT good/JJ she/PRP declared/VBD from/IN Nota/RBDT agood/DTJJ goodshe/JJPRP shedeclared/PRPVBD declaredfrom/VBDIN Notagood/RBDTJJ agoodshe/DTJJPRP goodshedeclared/JJPRPVBD shedeclaredfrom/PRPVBDIN 99 audience%1:14:00::
of/IN critics/NNS and/CC at/IN the/DT major/JJ ofcritics/INNNS criticsand/NNSCC andat/CCIN atthe/INDT themajor/DTJJ ofcriticsand/INNNSCC criticsandat/NNSCCIN andatthe/CCINDT atthemajor/INDTJJ 64 audience%1:14:00::
warm/JJ reception/NN from/IN _/NNP _/NNP _/NNP warmreception/JJNN receptionfrom/NNIN from_/INNNP __/NNPNNP __/NNPNNP warmreceptionfrom/JJNNIN receptionfrom_/NNINNNP from__/INNNPNNP ___/NNPNNPNNP 66 audience%1:14:00::
demands/NNS on/IN their/PRP$ and/CC through/IN all/DT demandson/NNSIN ontheir/INPRP$ theirand/PRP$CC andthrough/CCIN throughall/INDT demandsontheir/NNSINPRP$ ontheirand/INPRP$CC theirandthrough/PRP$CCIN andthroughall/CCINDT 101 audience%1:14:00::
demands/NNS on/IN their/PRP$ and/CC through/IN all/DT demandson/NNSIN ontheir/INPRP$ theirand/PRP$CC andthrough/CCIN throughall/INDT demandsontheir/NNSINPRP$ ontheirand/INPRP$CC theirandthrough/PRP$CCIN andthroughall/CCINDT 101 U
best/RB before/IN an/DT of/IN around/IN 35000/CD bestbefore/RBIN beforean/INDT anof/DTIN ofaround/ININ around35000/INCD bestbeforean/RBINDT beforeanof/INDTIN anofaround/DTININ ofaround35000/ININCD 61 audience%1:14:00::
_/NN Films/NNS need/VBP as/RB much/JJ as/IN _Films/NNNNS Filmsneed/NNSVBP needas/VBPRB asmuch/RBJJ muchas/JJIN _Filmsneed/NNNNSVBP Filmsneedas/NNSVBPRB needasmuch/VBPRBJJ asmuchas/RBJJIN 62 audience%1:14:00::
_/NN Films/NNS need/VBP as/RB much/JJ as/IN _Films/NNNNS Filmsneed/NNSVBP needas/VBPRB asmuch/RBJJ muchas/JJIN _Filmsneed/NNNNSVBP Filmsneedas/NNSVBPRB needasmuch/VBPRBJJ asmuchas/RBJJIN 62 audience%1:14:01::
major/JJ sports/NNS which/WDT will/MD wish/VB to/TO majorsports/JJNNS sportswhich/NNSWDT whichwill/WDTMD willwish/MDVB wishto/VBTO majorsportswhich/JJNNSWDT sportswhichwill/NNSWDTMD whichwillwish/WDTMDVB willwishto/MDVBTO 99 audience%1:14:01::
of/IN the/DT television/NN _/NNP _/NNP _/NNP ofthe/INDT thetelevision/DTNN television_/NNNNP __/NNPNNP __/NNPNNP ofthetelevision/INDTNN thetelevision_/DTNNNNP television__/NNNNPNNP ___/NNPNNPNNP 65 audience%1:14:01::
for/IN its/PRP$ own/JJ our/PRP$ screens/NNS will/MD forits/INPRP$ itsown/PRP$JJ ownour/JJPRP$ ourscreens/PRP$NNS screenswill/NNSMD foritsown/INPRP$JJ itsownour/PRP$JJPRP$ ownourscreens/JJPRP$NNS ourscreenswill/PRP$NNSMD 108 audience%1:14:01::
_/FW _/FW The/DT was/VBD over/IN _/NNP __/FWFW _The/FWDT Thewas/DTVBD wasover/VBDIN over_/INNNP __The/FWFWDT _Thewas/FWDTVBD Thewasover/DTVBDIN wasover_/VBDINNNP 57 U
market/NN research/NN target/NN lead/NN -/: in/IN marketresearch/NNNN researchtarget/NNNN targetlead/NNNN lead-/NN: -in/:IN marketresearchtarget/NNNNNN researchtargetlead/NNNNNN targetlead-/NNNN: lead-in/NN:IN 44 audience%1:14:01::
which/WDT encouraged/VBD the/DT to/TO applaud/VB each/DT whichencouraged/WDTVBD encouragedthe/VBDDT theto/DTTO toapplaud/TOVB applaudeach/VBDT whichencouragedthe/WDTVBDDT encouragedtheto/VBDDTTO thetoapplaud/DTTOVB toapplaudeach/TOVBDT 105 audience%1:14:00::
Scots/NNS in/IN the/DT as/IN was/VBD Tetley/NNP Scotsin/NNSIN inthe/INDT theas/DTIN aswas/INVBD wasTetley/VBDNNP Scotsinthe/NNSINDT intheas/INDTIN theaswas/DTINVBD aswasTetley/INVBDNNP 85 audience%1:14:00::
for/IN their/PRP$ everincreasing/NN and/CC they/PRP realise/VBP fortheir/INPRP$ theireverincreasing/PRP$NN everincreasingand/NNCC andthey/CCPRP theyrealise/PRPVBP fortheireverincreasing/INPRP$NN theireverincreasingand/PRP$NNCC everincreasingandthey/NNCCPRP andtheyrealise/CCPRPVBP 82 audience%1:14:00::
for/IN their/PRP$ everincreasing/NN and/CC they/PRP realise/VBP fortheir/INPRP$ theireverincreasing/PRP$NN everincreasingand/NNCC andthey/CCPRP theyrealise/PRPVBP fortheireverincreasing/INPRP$NN theireverincreasingand/PRP$NNCC everincreasingandthey/NNCCPRP andtheyrealise/CCPRPVBP 82 audience%1:14:01::
entertain/VB a/DT popular/JJ _/NNP _/NNP _/NNP entertaina/VBDT apopular/DTJJ popular_/JJNNP __/NNPNNP __/NNPNNP entertainapopular/VBDTJJ apopular_/DTJJNNP popular__/JJNNPNNP ___/NNPNNPNNP 76 audience%1:14:00::
not/RB only/RB the/DT but/CC also/RB the/DT notonly/RBRB onlythe/RBDT thebut/DTCC butalso/CCRB alsothe/RBDT notonlythe/RBRBDT onlythebut/RBDTCC thebutalso/DTCCRB butalsothe/CCRBDT 107 audience%1:14:00::
hands/NNS makes/VBZ the/DT restless/JJ too/RB _/CD handsmakes/NNSVBZ makesthe/VBZDT therestless/DTJJ restlesstoo/JJRB too_/RBCD handsmakesthe/NNSVBZDT makestherestless/VBZDTJJ therestlesstoo/DTJJRB restlesstoo_/JJRBCD 92 audience%1:14:00::
roles/NNS which/WDT an/DT demands/NNS because/IN they/PRP roleswhich/NNSWDT whichan/WDTDT andemands/DTNNS demandsbecause/NNSIN becausethey/INPRP roleswhichan/NNSWDTDT whichandemands/WDTDTNNS andemandsbecause/DTNNSIN demandsbecausethey/NNSINPRP 89 audience%1:14:00::
attention/NN of/IN its/PRP$ because/IN the/DT content/NN attentionof/NNIN ofits/INPRP$ itsbecause/PRP$IN becausethe/INDT thecontent/DTNN attentionofits/NNINPRP$ ofitsbecause/INPRP$IN itsbecausethe/PRP$INDT becausethecontent/INDTNN 70 audience%1:14:00::
deal/NN from/IN an/DT _/NNP _/NNP _/NNP dealfrom/NNIN froman/INDT an_/DTNNP __/NNPNNP __/NNPNNP dealfroman/NNINDT froman_/INDTNNP an__/DTNNPNNP ___/NNPNNPNNP 76 audience%1:14:00::
both/DT performers/NNS and/CC to/TO understand/VB how/WRB bothperformers/DTNNS performersand/NNSCC andto/CCTO tounderstand/TOVB understandhow/VBWRB bothperformersand/DTNNSCC performersandto/NNSCCTO andtounderstand/CCTOVB tounderstandhow/TOVBWRB 71 audience%1:14:00::
silence/NN before/IN the/DT respond/NN so/RB strong/JJ silencebefore/NNIN beforethe/INDT therespond/DTNN respondso/NNRB sostrong/RBJJ silencebeforethe/NNINDT beforetherespond/INDTNN therespondso/DTNNRB respondsostrong/NNRBJJ 76 audience%1:14:00::
eyes/NNS of/IN the/DT to/TO the/DT endless/JJ eyesof/NNSIN ofthe/INDT theto/DTTO tothe/TODT theendless/DTJJ eyesofthe/NNSINDT oftheto/INDTTO thetothe/DTTODT totheendless/TODTJJ 77 audience%1:14:00::
a/DT degree/NN that/WDT soon/RB recognise/VBP a/DT adegree/DTNN degreethat/NNWDT thatsoon/WDTRB soonrecognise/RBVBP recognisea/VBPDT adegreethat/DTNNWDT degreethatsoon/NNWDTRB thatsoonrecognise/WDTRBVBP soonrecognisea/RBVBPDT 98 audience%1:14:00::
a/DT degree/NN that/WDT soon/RB recognise/VBP a/DT adegree/DTNN degreethat/NNWDT thatsoon/WDTRB soonrecognise/RBVBP recognisea/VBPDT adegreethat/DTNNWDT degreethatsoon/NNWDTRB thatsoonrecognise/WDTRBVBP soonrecognisea/RBVBPDT 98 audience%1:14:01::
ballets/NNS which/WDT give/VBP great/JJ pleasure/NN through/IN balletswhich/NNSWDT whichgive/WDTVBP givegreat/VBPJJ greatpleasure/JJNN pleasurethrough/NNIN balletswhichgive/NNSWDTVBP whichgivegreat/WDTVBPJJ givegreatpleasure/VBPJJNN greatpleasurethrough/JJNNIN 89 audience%1:14:00::
ballets/NNS which/WDT give/VBP great/JJ pleasure/NN through/IN balletswhich/NNSWDT whichgive/WDTVBP givegreat/VBPJJ greatpleasure/JJNN pleasurethrough/NNIN balletswhichgive/NNSWDTVBP whichgivegreat/WDTVBPJJ givegreatpleasure/VBPJJNN greatpleasurethrough/JJNNIN 89 audience%1:14:01::
on/IN dancers/NNS and/CC as/IN Stravinsky/NNP 's/POS ondancers/INNNS dancersand/NNSCC andas/CCIN asStravinsky/INNNP Stravinsky's/NNPPOS ondancersand/INNNSCC dancersandas/NNSCCIN andasStravinsky/CCINNNP asStravinsky's/INNNPPOS 78 audience%1:14:00::
on/IN dancers/NNS and/CC as/IN Stravinsky/NNP 's/POS ondancers/INNNS dancersand/NNSCC andas/CCIN asStravinsky/INNNP Stravinsky's/NNPPOS ondancersand/INNNSCC dancersandas/NNSCCIN andasStravinsky/CCINNNP asStravinsky's/INNNPPOS 78 audience%1:14:01::
they/PRP hold/VBP the/DT 's/POS full/JJ attention/NN theyhold/PRPVBP holdthe/VBPDT the's/DTPOS 'sfull/POSJJ fullattention/JJNN theyholdthe/PRPVBPDT holdthe's/VBPDTPOS the'sfull/DTPOSJJ 'sfullattention/POSJJNN 79 audience%1:14:00::
members/NNS of/IN the/DT of/IN much/JJ of/IN membersof/NNSIN ofthe/INDT theof/DTIN ofmuch/INJJ muchof/JJIN membersofthe/NNSINDT oftheof/INDTIN theofmuch/DTINJJ ofmuchof/INJJIN 104 audience%1:14:00::
understandable/JJ by/IN an/DT _/NNP _/NNP _/NNP understandableby/JJIN byan/INDT an_/DTNNP __/NNPNNP __/NNPNNP understandablebyan/JJINDT byan_/INDTNNP an__/DTNNPNNP ___/NNPNNPNNP 97 audience%1:14:00::
all/DT in/IN the/DT have/VBP sufficient/JJ knowledge/NN allin/DTIN inthe/INDT thehave/DTVBP havesufficient/VBPJJ sufficientknowledge/JJNN allinthe/DTINDT inthehave/INDTVBP thehavesufficient/DTVBPJJ havesufficientknowledge/VBPJJNN 74 audience%1:14:00::
and/CC capture/VB the/DT 's/POS attention/NN from/IN andcapture/CCVB capturethe/VBDT the's/DTPOS 'sattention/POSNN attentionfrom/NNIN andcapturethe/CCVBDT capturethe's/VBDTPOS the'sattention/DTPOSNN 'sattentionfrom/POSNNIN 85 audience%1:14:00::
both/DT dancers/NNS and/CC to/TO follow/VB the/DT bothdancers/DTNNS dancersand/NNSCC andto/CCTO tofollow/TOVB followthe/VBDT bothdancersand/DTNNSCC dancersandto/NNSCCTO andtofollow/CCTOVB tofollowthe/TOVBDT 103 audience%1:14:00::
this/DT raises/VBZ the/DT 's/POS expectations/NNS before/RB thisraises/DTVBZ raisesthe/VBZDT the's/DTPOS 'sexpectations/POSNNS expectationsbefore/NNSRB thisraisesthe/DTVBZDT raisesthe's/VBZDTPOS the'sexpectations/DTPOSNNS 'sexpectationsbefore/POSNNSRB 118 audience%1:14:00::
difficult/JJ because/IN the/DT must/MD be/VB convinced/VBN difficultbecause/JJIN becausethe/INDT themust/DTMD mustbe/MDVB beconvinced/VBVBN difficultbecausethe/JJINDT becausethemust/INDTMD themustbe/DTMDVB mustbeconvinced/MDVBVBN 113 audience%1:14:00::
difficult/JJ because/IN the/DT must/MD be/VB convinced/VBN difficultbecause/JJIN becausethe/INDT themust/DTMD mustbe/MDVB beconvinced/VBVBN difficultbecausethe/JJINDT becausethemust/INDTMD themustbe/DTMDVB mustbeconvinced/MDVBVBN 113 audience%1:14:01::
through/IN which/WDT the/DT will/MD feel/VB and/CC throughwhich/INWDT whichthe/WDTDT thewill/DTMD willfeel/MDVB feeland/VBCC throughwhichthe/INWDTDT whichthewill/WDTDTMD thewillfeel/DTMDVB willfeeland/MDVBCC 95 audience%1:14:00::
to/TO focus/VB the/DT 's/POS attention/NN on/IN tofocus/TOVB focusthe/VBDT the's/DTPOS 'sattention/POSNN attentionon/NNIN tofocusthe/TOVBDT focusthe's/VBDTPOS the'sattention/DTPOSNN 'sattentionon/POSNNIN 95 audience%1:14:00::
design/NN that/WDT brings/VBZ again/RB and/CC again/RB designthat/NNWDT thatbrings/WDTVBZ bringsagain/VBZRB againand/RBCC andagain/CCRB designthatbrings/NNWDTVBZ thatbringsagain/WDTVBZRB bringsagainand/VBZRBCC againandagain/RBCCRB 82 audience%1:14:00::
makes/NNS facing/VBG the/DT and/CC her/PRP$ sudden/JJ makesfacing/NNSVBG facingthe/VBGDT theand/DTCC andher/CCPRP$ hersudden/PRP$JJ makesfacingthe/NNSVBGDT facingtheand/VBGDTCC theandher/DTCCPRP$ andhersudden/CCPRP$JJ 98 audience%1:14:00::
or/CC to/TO the/DT nor/CC end/VB with/IN orto/CCTO tothe/TODT thenor/DTCC norend/CCVB endwith/VBIN ortothe/CCTODT tothenor/TODTCC thenorend/DTCCVB norendwith/CCVBIN 81 audience%1:14:00::
members/NNS of/IN an/DT have/VBP been/VBN known/VBN membersof/NNSIN ofan/INDT anhave/DTVBP havebeen/VBPVBN beenknown/VBNVBN membersofan/NNSINDT ofanhave/INDTVBP anhavebeen/DTVBPVBN havebeenknown/VBPVBNVBN 102 audience%1:14:00::
backs/NNS on/IN the/DT because/IN all/DT had/VBD backson/NNSIN onthe/INDT thebecause/DTIN becauseall/INDT allhad/DTVBD backsonthe/NNSINDT onthebecause/INDTIN thebecauseall/DTINDT becauseallhad/INDTVBD 82 audience%1:14:00::
often/RB arouse/VBP the/DT to/TO gentle/JJ laughter/NN oftenarouse/RBVBP arousethe/VBPDT theto/DTTO togentle/TOJJ gentlelaughter/JJNN oftenarousethe/RBVBPDT arousetheto/VBPDTTO thetogentle/DTTOJJ togentlelaughter/TOJJNN 105 audience%1:14:00::
before/IN a/DT wide/JJ and/CC the/DT focus/NN beforea/INDT awide/DTJJ wideand/JJCC andthe/CCDT thefocus/DTNN beforeawide/INDTJJ awideand/DTJJCC wideandthe/JJCCDT andthefocus/CCDTNN 92 audience%1:14:00::
exposure/NN prepares/VBZ the/DT for/IN the/DT brilliant/JJ exposureprepares/NNVBZ preparesthe/VBZDT thefor/DTIN forthe/INDT thebrilliant/DTJJ exposurepreparesthe/NNVBZDT preparesthefor/VBZDTIN theforthe/DTINDT forthebrilliant/INDTJJ 55 audience%1:14:00::
prepared/VBN for/IN his/PRP$ _/NNP _/NNP _/NNP preparedfor/VBNIN forhis/INPRP$ his_/PRP$NNP __/NNPNNP __/NNPNNP preparedforhis/VBNINPRP$ forhis_/INPRP$NNP his__/PRP$NNPNNP ___/NNPNNPNNP 68 audience%1:14:00::
prepared/VBN for/IN his/PRP$ _/NNP _/NNP _/NNP preparedfor/VBNIN forhis/INPRP$ his_/PRP$NNP __/NNPNNP __/NNPNNP preparedforhis/VBNINPRP$ forhis_/INPRP$NNP his__/PRP$NNPNNP ___/NNPNNPNNP 68 audience%1:14:01::
were/VBD understood/VBN by/IN everywhere/RB no/DT matter/NN wereunderstood/VBDVBN understoodby/VBNIN byeverywhere/INRB everywhereno/RBDT nomatter/DTNN wereunderstoodby/VBDVBNIN understoodbyeverywhere/VBNINRB byeverywhereno/INRBDT everywherenomatter/RBDTNN 81 audience%1:14:00::
were/VBD understood/VBN by/IN everywhere/RB no/DT matter/NN wereunderstood/VBDVBN understoodby/VBNIN byeverywhere/INRB everywhereno/RBDT nomatter/DTNN wereunderstoodby/VBDVBNIN understoodbyeverywhere/VBNINRB byeverywhereno/INRBDT everywherenomatter/RBDTNN 81 audience%1:14:01::
entrances/NNS that/IN the/DT is/VBZ forced/VBN to/TO entrancesthat/NNSIN thatthe/INDT theis/DTVBZ isforced/VBZVBN forcedto/VBNTO entrancesthatthe/NNSINDT thattheis/INDTVBZ theisforced/DTVBZVBN isforcedto/VBZVBNTO 93 audience%1:14:00::
members/NNS of/IN the/DT at/IN the/DT first/JJ membersof/NNSIN ofthe/INDT theat/DTIN atthe/INDT thefirst/DTJJ membersofthe/NNSINDT oftheat/INDTIN theatthe/DTINDT atthefirst/INDTJJ 103 audience%1:14:00::
Don/NNP Quixote/NNP for/IN to/TO believe/VB that/DT DonQuixote/NNPNNP Quixotefor/NNPIN forto/INTO tobelieve/TOVB believethat/VBDT DonQuixotefor/NNPNNPIN Quixoteforto/NNPINTO fortobelieve/INTOVB tobelievethat/TOVBDT 93 audience%1:14:00::
to/TO Bordeaux/NNP the/DT like/IN those/DT elsewhere/RB toBordeaux/TONNP Bordeauxthe/NNPDT thelike/DTIN likethose/INDT thoseelsewhere/DTRB toBordeauxthe/TONNPDT Bordeauxthelike/NNPDTIN thelikethose/DTINDT likethoseelsewhere/INDTRB 89 audience%1:14:00::
_/FW _/FW But/CC sitting/VBG and/CC watching/VBG __/FWFW _But/FWCC Butsitting/CCVBG sittingand/VBGCC andwatching/CCVBG __But/FWFWCC _Butsitting/FWCCVBG Butsittingand/CCVBGCC sittingandwatching/VBGCCVBG 66 audience%1:14:00::
paraded/VBN before/IN the/DT _/NNP _/NNP _/NNP paradedbefore/VBNIN beforethe/INDT the_/DTNNP __/NNPNNP __/NNPNNP paradedbeforethe/VBNINDT beforethe_/INDTNNP the__/DTNNPNNP ___/NNPNNPNNP 88 audience%1:14:00::
Those/DT in/IN the/DT who/WP have/VBP had/VBN Thosein/DTIN inthe/INDT thewho/DTWP whohave/WPVBP havehad/VBPVBN Thoseinthe/DTINDT inthewho/INDTWP thewhohave/DTWPVBP whohavehad/WPVBPVBN 104 audience%1:14:00::
and/CC expressed/VBD the/DT 's/POS understanding/NN of/IN andexpressed/CCVBD expressedthe/VBDDT the's/DTPOS 'sunderstanding/POSNN understandingof/NNIN andexpressedthe/CCVBDDT expressedthe's/VBDDTPOS the'sunderstanding/DTPOSNN 'sunderstandingof/POSNNIN 64 audience%1:14:00::
back/RB to/TO the/DT raised/VBN his/PRP$ arms/NNS backto/RBTO tothe/TODT theraised/DTVBN raisedhis/VBNPRP$ hisarms/PRP$NNS backtothe/RBTODT totheraised/TODTVBN theraisedhis/DTVBNPRP$ raisedhisarms/VBNPRP$NNS 63 audience%1:14:00::
those/DT which/WDT the/DT could/MD easily/RB recognise/VB thosewhich/DTWDT whichthe/WDTDT thecould/DTMD couldeasily/MDRB easilyrecognise/RBVB thosewhichthe/DTWDTDT whichthecould/WDTDTMD thecouldeasily/DTMDRB couldeasilyrecognise/MDRBVB 95 audience%1:14:00::
clearly/RB by/IN the/DT _/NNP _/NNP _/NNP clearlyby/RBIN bythe/INDT the_/DTNNP __/NNPNNP __/NNPNNP clearlybythe/RBINDT bythe_/INDTNNP the__/DTNNPNNP ___/NNPNNPNNP 65 audience%1:14:00::
with/IN whom/WP the/DT can/MD feel/VB sympathy/NN withwhom/INWP whomthe/WPDT thecan/DTMD canfeel/MDVB feelsympathy/VBNN withwhomthe/INWPDT whomthecan/WPDTMD thecanfeel/DTMDVB canfeelsympathy/MDVBNN 81 audience%1:14:00::
beams/NNS on/IN the/DT as/IN for/IN example/NN beamson/NNSIN onthe/INDT theas/DTIN asfor/ININ forexample/INNN beamsonthe/NNSINDT ontheas/INDTIN theasfor/DTININ asforexample/ININNN 89 audience%1:14:00::
been/VBN to/TO convince/VB that/DT dance/NN in/IN beento/VBNTO toconvince/TOVB convincethat/VBDT thatdance/DTNN dancein/NNIN beentoconvince/VBNTOVB toconvincethat/TOVBDT convincethatdance/VBDTNN thatdancein/DTNNIN 53 audience%1:14:00::
friends/NNS in/IN the/DT _/NNP _/NNP _/NNP friendsin/NNSIN inthe/INDT the_/DTNNP __/NNPNNP __/NNPNNP friendsinthe/NNSINDT inthe_/INDTNNP the__/DTNNPNNP ___/NNPNNPNNP 85 audience%1:14:00::
interest/NN of/IN an/DT bored/VBN with/IN too/RB interestof/NNIN ofan/INDT anbored/DTVBN boredwith/VBNIN withtoo/INRB interestofan/NNINDT ofanbored/INDTVBN anboredwith/DTVBNIN boredwithtoo/VBNINRB 81 audience%1:14:00::
interest/NN of/IN an/DT bored/VBN with/IN too/RB interestof/NNIN ofan/INDT anbored/DTVBN boredwith/VBNIN withtoo/INRB interestofan/NNINDT ofanbored/INDTVBN anboredwith/DTVBNIN boredwithtoo/VBNINRB 81 audience%1:14:01::
advantage/NN from/IN the/DT 's/POS point/NN of/IN advantagefrom/NNIN fromthe/INDT the's/DTPOS 'spoint/POSNN pointof/NNIN advantagefromthe/NNINDT fromthe's/INDTPOS the'spoint/DTPOSNN 'spointof/POSNNIN 51 audience%1:14:00::
member/NN of/IN their/PRP$ has/VBZ an/DT inborn/NN memberof/NNIN oftheir/INPRP$ theirhas/PRP$VBZ hasan/VBZDT aninborn/DTNN memberoftheir/NNINPRP$ oftheirhas/INPRP$VBZ theirhasan/PRP$VBZDT hasaninborn/VBZDTNN 52 audience%1:14:00::
both/DT dancers/NNS and/CC time/NN to/TO consider/VB bothdancers/DTNNS dancersand/NNSCC andtime/CCNN timeto/NNTO toconsider/TOVB bothdancersand/DTNNSCC dancersandtime/NNSCCNN andtimeto/CCNNTO timetoconsider/NNTOVB 119 audience%1:14:00::
mostly/RB face/VB the/DT but/CC their/PRP$ arms/NNS mostlyface/RBVB facethe/VBDT thebut/DTCC buttheir/CCPRP$ theirarms/PRP$NNS mostlyfacethe/RBVBDT facethebut/VBDTCC thebuttheir/DTCCPRP$ buttheirarms/CCPRP$NNS 95 audience%1:14:00::
