out/IN of/IN UK/NNP income/NN he/PRP should/MD outof/ININ ofUK/INNNP UKincome/NNPNN incomehe/NNPRP heshould/PRPMD outofUK/ININNNP ofUKincome/INNNPNN UKincomehe/NNPNNPRP incomeheshould/NNPRPMD 33 source%1:15:00::
when/WRB the/DT second/JJ is/VBZ threatened/VBN as/IN whenthe/WRBDT thesecond/DTJJ secondis/JJVBZ isthreatened/VBZVBN threatenedas/VBNIN whenthesecond/WRBDTJJ thesecondis/DTJJVBZ secondisthreatened/JJVBZVBN isthreatenedas/VBZVBNIN 90 U
the/DT two/CD principal/NN of/IN power/NN in/IN thetwo/DTCD twoprincipal/CDNN principalof/NNIN ofpower/INNN powerin/NNIN thetwoprincipal/DTCDNN twoprincipalof/CDNNIN principalofpower/NNINNN ofpowerin/INNNIN 83 source%1:15:00::
the/DT two/CD principal/NN of/IN power/NN in/IN thetwo/DTCD twoprincipal/CDNN principalof/NNIN ofpower/INNN powerin/NNIN thetwoprincipal/DTCDNN twoprincipalof/CDNNIN principalofpower/NNINNN ofpowerin/INNNIN 83 source%1:18:00::
of/IN the/DT main/NN of/IN the/DT bishops/NNS ofthe/INDT themain/DTNN mainof/NNIN ofthe/INDT thebishops/DTNNS ofthemain/INDTNN themainof/DTNNIN mainofthe/NNINDT ofthebishops/INDTNNS 143 source%1:15:00::
adoption/NN agencies/NNS the/DT for/IN the/DT majority/NN adoptionagencies/NNNNS agenciesthe/NNSDT thefor/DTIN forthe/INDT themajority/DTNN adoptionagenciesthe/NNNNSDT agenciesthefor/NNSDTIN theforthe/DTINDT forthemajority/INDTNN 94 source%1:06:00::
to/TO be/VB a/DT of/IN happiness/NN and/CC tobe/TOVB bea/VBDT aof/DTIN ofhappiness/INNN happinessand/NNCC tobea/TOVBDT beaof/VBDTIN aofhappiness/DTINNN ofhappinessand/INNNCC 79 source%1:15:00::
to/TO be/VB a/DT of/IN happiness/NN and/CC tobe/TOVB bea/VBDT aof/DTIN ofhappiness/INNN happinessand/NNCC tobea/TOVBDT beaof/VBDTIN aofhappiness/DTINNN ofhappinessand/INNNCC 79 source%1:18:00::
appear/VB as/IN a/DT from/IN which/WDT to/TO appearas/VBIN asa/INDT afrom/DTIN fromwhich/INWDT whichto/WDTTO appearasa/VBINDT asafrom/INDTIN afromwhich/DTINWDT fromwhichto/INWDTTO 143 source%1:15:00::
and/CC no/DT significant/JJ of/IN conflict/NN that/IN andno/CCDT nosignificant/DTJJ significantof/JJIN ofconflict/INNN conflictthat/NNIN andnosignificant/CCDTJJ nosignificantof/DTJJIN significantofconflict/JJINNN ofconflictthat/INNNIN 129 source%1:15:00::
always/RB been/VBN a/DT of/IN goodness/NN _/NN alwaysbeen/RBVBN beena/VBNDT aof/DTIN ofgoodness/INNN goodness_/NNNN alwaysbeena/RBVBNDT beenaof/VBNDTIN aofgoodness/DTINNN ofgoodness_/INNNNN 32 source%1:15:00::
also/RB be/VB a/DT of/IN excitement/NN _/NN alsobe/RBVB bea/VBDT aof/DTIN ofexcitement/INNN excitement_/NNNN alsobea/RBVBDT beaof/VBDTIN aofexcitement/DTINNN ofexcitement_/INNNNN 39 source%1:15:00::
to/TO the/DT same/JJ for/IN the/DT top/NN tothe/TODT thesame/DTJJ samefor/JJIN forthe/INDT thetop/DTNN tothesame/TODTJJ thesamefor/DTJJIN sameforthe/JJINDT forthetop/INDTNN 81 source%1:06:00::
to/TO other/JJ literary/JJ of/IN which/WDT the/DT toother/TOJJ otherliterary/JJJJ literaryof/JJIN ofwhich/INWDT whichthe/WDTDT tootherliterary/TOJJJJ otherliteraryof/JJJJIN literaryofwhich/JJINWDT ofwhichthe/INWDTDT 102 source%1:10:01::
the/DT English/NNP language/NN for/IN the/DT creation/NN theEnglish/DTNNP Englishlanguage/NNPNN languagefor/NNIN forthe/INDT thecreation/DTNN theEnglishlanguage/DTNNPNN Englishlanguagefor/NNPNNIN languageforthe/NNINDT forthecreation/INDTNN 96 source%1:10:01::
as/IN a/DT primary/NN for/IN Hercule/NNP Poirot/NNP asa/INDT aprimary/DTNN primaryfor/NNIN forHercule/INNNP HerculePoirot/NNPNNP asaprimary/INDTNN aprimaryfor/DTNNIN primaryforHercule/NNINNNP forHerculePoirot/INNNPNNP 139 source%1:09:00::
as/IN a/DT primary/NN for/IN Hercule/NNP Poirot/NNP asa/INDT aprimary/DTNN primaryfor/NNIN forHercule/INNNP HerculePoirot/NNPNNP asaprimary/INDTNN aprimaryfor/DTNNIN primaryforHercule/NNINNNP forHerculePoirot/INNNPNNP 139 source%1:10:01::
most/RBS obvious/JJ of/IN the/DT Medieval/JJ Mystery/NN mostobvious/RBSJJ obviousof/JJIN ofthe/INDT theMedieval/DTJJ MedievalMystery/JJNN mostobviousof/RBSJJIN obviousofthe/JJINDT oftheMedieval/INDTJJ theMedievalMystery/DTJJNN 145 source%1:10:01::
Agatha/NNP Christie/NNP 's/POS for/IN the/DT character/NN AgathaChristie/NNPNNP Christie's/NNPPOS 'sfor/POSIN forthe/INDT thecharacter/DTNN AgathaChristie's/NNPNNPPOS Christie'sfor/NNPPOSIN 'sforthe/POSINDT forthecharacter/INDTNN 60 source%1:09:00::
remarkable/JJ range/NN of/IN -/: material/NN to/TO remarkablerange/JJNN rangeof/NNIN of-/IN: -material/:NN materialto/NNTO remarkablerangeof/JJNNIN rangeof-/NNIN: of-material/IN:NN -materialto/:NNTO 43 source%1:10:01::
with/IN no/DT new/JJ of/IN income/NN on/IN withno/INDT nonew/DTJJ newof/JJIN ofincome/INNN incomeon/NNIN withnonew/INDTJJ nonewof/DTJJIN newofincome/JJINNN ofincomeon/INNNIN 78 source%1:15:00::
with/IN no/DT new/JJ of/IN income/NN on/IN withno/INDT nonew/DTJJ newof/JJIN ofincome/INNN incomeon/NNIN withnonew/INDTJJ nonewof/DTJJIN newofincome/JJINNN ofincomeon/INNNIN 78 source%1:18:00::
a/DT vital/JJ potential/NN of/IN assistance/NN _/NN avital/DTJJ vitalpotential/JJNN potentialof/NNIN ofassistance/INNN assistance_/NNNN avitalpotential/DTJJNN vitalpotentialof/JJNNIN potentialofassistance/NNINNN ofassistance_/INNNNN 67 source%1:18:00::
provide/VB an/DT abundant/JJ of/IN protein/NN for/IN providean/VBDT anabundant/DTJJ abundantof/JJIN ofprotein/INNN proteinfor/NNIN provideanabundant/VBDTJJ anabundantof/DTJJIN abundantofprotein/JJINNN ofproteinfor/INNNIN 68 source%1:15:00::
rarely/RB failing/VBG food/NN _/NNP _/NNP _/NNP rarelyfailing/RBVBG failingfood/VBGNN food_/NNNNP __/NNPNNP __/NNPNNP rarelyfailingfood/RBVBGNN failingfood_/VBGNNNNP food__/NNNNPNNP ___/NNPNNPNNP 53 source%1:15:00::
rarely/RB failing/VBG food/NN _/NNP _/NNP _/NNP rarelyfailing/RBVBG failingfood/VBGNN food_/NNNNP __/NNPNNP __/NNPNNP rarelyfailingfood/RBVBGNN failingfood_/VBGNNNNP food__/NNNNPNNP ___/NNPNNPNNP 53 source%1:18:00::
not/RB only/RB a/DT of/IN plant/NN foods/NNS notonly/RBRB onlya/RBDT aof/DTIN ofplant/INNN plantfoods/NNNNS notonlya/RBRBDT onlyaof/RBDTIN aofplant/DTINNN ofplantfoods/INNNNNS 58 source%1:15:00::
are/VBP a/DT renewable/JJ Stakes/NNS set/VBN in/IN area/VBPDT arenewable/DTJJ renewableStakes/JJNNS Stakesset/NNSVBN setin/VBNIN arearenewable/VBPDTJJ arenewableStakes/DTJJNNS renewableStakesset/JJNNSVBN Stakessetin/NNSVBNIN 29 source%1:15:00::
when/WRB other/JJ food/NN are/VBP disappearing/VBG _/CD whenother/WRBJJ otherfood/JJNN foodare/NNVBP aredisappearing/VBPVBG disappearing_/VBGCD whenotherfood/WRBJJNN otherfoodare/JJNNVBP foodaredisappearing/NNVBPVBG aredisappearing_/VBPVBGCD 73 source%1:15:00::
when/WRB their/PRP$ natural/NN of/IN food/NN are/VBP whentheir/WRBPRP$ theirnatural/PRP$NN naturalof/NNIN offood/INNN foodare/NNVBP whentheirnatural/WRBPRP$NN theirnaturalof/PRP$NNIN naturaloffood/NNINNN offoodare/INNNVBP 93 source%1:15:00::
And/CC where/WRB the/DT of/IN light/NN comes/VBZ Andwhere/CCWRB wherethe/WRBDT theof/DTIN oflight/INNN lightcomes/NNVBZ Andwherethe/CCWRBDT wheretheof/WRBDTIN theoflight/DTINNN oflightcomes/INNNVBZ 83 source%1:15:00::
the/DT sensation/NN at/IN _/NNP _/NNP _/NNP thesensation/DTNN sensationat/NNIN at_/INNNP __/NNPNNP __/NNPNNP thesensationat/DTNNIN sensationat_/NNINNNP at__/INNNPNNP ___/NNPNNPNNP 75 source%1:15:00::
not/RB repeated/VBN in/IN _/NNP _/NNP _/NNP notrepeated/RBVBN repeatedin/VBNIN in_/INNNP __/NNPNNP __/NNPNNP notrepeatedin/RBVBNIN repeatedin_/VBNINNNP in__/INNNPNNP ___/NNPNNPNNP 23 source%1:10:00::
not/RB repeated/VBN in/IN _/NNP _/NNP _/NNP notrepeated/RBVBN repeatedin/VBNIN in_/INNNP __/NNPNNP __/NNPNNP notrepeatedin/RBVBNIN repeatedin_/VBNINNNP in__/INNNPNNP ___/NNPNNPNNP 23 U
some/DT of/IN the/DT of/IN information/NN and/CC someof/DTIN ofthe/INDT theof/DTIN ofinformation/INNN informationand/NNCC someofthe/DTINDT oftheof/INDTIN theofinformation/DTINNN ofinformationand/INNNCC 67 source%1:10:00::
_/NN was/VBD the/DT of/IN extreme/JJ curiosity/NN _was/NNVBD wasthe/VBDDT theof/DTIN ofextreme/INJJ extremecuriosity/JJNN _wasthe/NNVBDDT wastheof/VBDDTIN theofextreme/DTINJJ ofextremecuriosity/INJJNN 99 source%1:09:00::
by/IN the/DT rich/JJ of/IN material/NN which/WDT bythe/INDT therich/DTJJ richof/JJIN ofmaterial/INNN materialwhich/NNWDT bytherich/INDTJJ therichof/DTJJIN richofmaterial/JJINNN ofmaterialwhich/INNNWDT 112 source%1:15:00::
is/VBZ a/DT reference/NN to/TO recent/JJ government/NN isa/VBZDT areference/DTNN referenceto/NNTO torecent/TOJJ recentgovernment/JJNN isareference/VBZDTNN areferenceto/DTNNTO referencetorecent/NNTOJJ torecentgovernment/TOJJNN 152 source%1:10:01::
and/CC always/RB the/DT of/IN emotive/JJ reaction/NN andalways/CCRB alwaysthe/RBDT theof/DTIN ofemotive/INJJ emotivereaction/JJNN andalwaysthe/CCRBDT alwaystheof/RBDTIN theofemotive/DTINJJ ofemotivereaction/INJJNN 100 source%1:15:00::
of/IN the/DT value/NN from/IN which/WDT it/PRP ofthe/INDT thevalue/DTNN valuefrom/NNIN fromwhich/INWDT whichit/WDTPRP ofthevalue/INDTNN thevaluefrom/DTNNIN valuefromwhich/NNINWDT fromwhichit/INWDTPRP 83 source%1:15:00::
cover/NN and/CC possible/JJ of/IN material/NN _/NN coverand/NNCC andpossible/CCJJ possibleof/JJIN ofmaterial/INNN material_/NNNN coverandpossible/NNCCJJ andpossibleof/CCJJIN possibleofmaterial/JJINNN ofmaterial_/INNNNN 42 source%1:15:00::
close/RB to/TO its/PRP$ when/WRB it/PRP is/VBZ closeto/RBTO toits/TOPRP$ itswhen/PRP$WRB whenit/WRBPRP itis/PRPVBZ closetoits/RBTOPRP$ toitswhen/TOPRP$WRB itswhenit/PRP$WRBPRP whenitis/WRBPRPVBZ 68 source%1:15:00::
something/NN there/RB a/DT of/IN light/NN that/IN somethingthere/NNRB therea/RBDT aof/DTIN oflight/INNN lightthat/NNIN somethingtherea/NNRBDT thereaof/RBDTIN aoflight/DTINNN oflightthat/INNNIN 54 source%1:15:00::
of/IN safe/JJ houses/NNS of/IN milk/NN and/CC ofsafe/INJJ safehouses/JJNNS housesof/NNSIN ofmilk/INNN milkand/NNCC ofsafehouses/INJJNNS safehousesof/JJNNSIN housesofmilk/NNSINNN ofmilkand/INNNCC 57 source%1:06:00::
probably/RB the/DT best/JJS of/IN the/DT constructivist/NN probablythe/RBDT thebest/DTJJS bestof/JJSIN ofthe/INDT theconstructivist/DTNN probablythebest/RBDTJJS thebestof/DTJJSIN bestofthe/JJSINDT oftheconstructivist/INDTNN 39 source%1:10:01::
_/FW _/FW The/DT of/IN energy/NN for/IN __/FWFW _The/FWDT Theof/DTIN ofenergy/INNN energyfor/NNIN __The/FWFWDT _Theof/FWDTIN Theofenergy/DTINNN ofenergyfor/INNNIN 76 source%1:15:00::
_/NNP This/NNP includes/VBZ for/IN information/NN on/IN _This/NNPNNP Thisincludes/NNPVBZ includesfor/VBZIN forinformation/INNN informationon/NNIN _Thisincludes/NNPNNPVBZ Thisincludesfor/NNPVBZIN includesforinformation/VBZINNN forinformationon/INNNIN 61 source%1:15:00::
for/IN checking/VBG the/DT of/IN sustainably/RB managed/VBN forchecking/INVBG checkingthe/VBGDT theof/DTIN ofsustainably/INRB sustainablymanaged/RBVBN forcheckingthe/INVBGDT checkingtheof/VBGDTIN theofsustainably/DTINRB ofsustainablymanaged/INRBVBN 70 source%1:15:00::
to/TO monitor/VB sustainable/JJ but/CC the/DT two/CD tomonitor/TOVB monitorsustainable/VBJJ sustainablebut/JJCC butthe/CCDT thetwo/DTCD tomonitorsustainable/TOVBJJ monitorsustainablebut/VBJJCC sustainablebutthe/JJCCDT butthetwo/CCDTCD 89 source%1:15:00::
indigenous/JJ timber/NN at/IN _/NNP _/NNP _/NNP indigenoustimber/JJNN timberat/NNIN at_/INNNP __/NNPNNP __/NNPNNP indigenoustimberat/JJNNIN timberat_/NNINNNP at__/INNNPNNP ___/NNPNNPNNP 99 source%1:15:00::
hobby/NN not/RB our/PRP$ of/IN income/NN ;/: hobbynot/NNRB notour/RBPRP$ ourof/PRP$IN ofincome/INNN income;/NN: hobbynotour/NNRBPRP$ notourof/RBPRP$IN ourofincome/PRP$INNN ofincome;/INNN: 99 source%1:15:00::
grain/NN as/IN the/DT of/IN the/DT visual/JJ grainas/NNIN asthe/INDT theof/DTIN ofthe/INDT thevisual/DTJJ grainasthe/NNINDT astheof/INDTIN theofthe/DTINDT ofthevisual/INDTJJ 93 source%1:18:00::
a/DT very/RB reliable/JJ _/NNP _/NNP _/NNP avery/DTRB veryreliable/RBJJ reliable_/JJNNP __/NNPNNP __/NNPNNP averyreliable/DTRBJJ veryreliable_/RBJJNNP reliable__/JJNNPNNP ___/NNPNNPNNP 56 source%1:18:01::
shops/NNS are/VBP another/DT _/NNP _/NNP _/NNP shopsare/NNSVBP areanother/VBPDT another_/DTNNP __/NNPNNP __/NNPNNP shopsareanother/NNSVBPDT areanother_/VBPDTNNP another__/DTNNPNNP ___/NNPNNPNNP 58 source%1:06:00::
and/CC tutor/NN Spinning/NNP Q/NNP I/PRP have/VBP andtutor/CCNN tutorSpinning/NNNNP SpinningQ/NNPNNP QI/NNPPRP Ihave/PRPVBP andtutorSpinning/CCNNNNP tutorSpinningQ/NNNNPNNP SpinningQI/NNPNNPPRP QIhave/NNPPRPVBP 29 U
records/NNS and/CC other/JJ of/IN information/NN may/MD recordsand/NNSCC andother/CCJJ otherof/JJIN ofinformation/INNN informationmay/NNMD recordsandother/NNSCCJJ andotherof/CCJJIN otherofinformation/JJINNN ofinformationmay/INNNMD 73 source%1:10:00::
about/IN evaluating/VBG the/DT of/IN the/DT sector/NN aboutevaluating/INVBG evaluatingthe/VBGDT theof/DTIN ofthe/INDT thesector/DTNN aboutevaluatingthe/INVBGDT evaluatingtheof/VBGDTIN theofthe/DTINDT ofthesector/INDTNN 134 source%1:15:00::
