associated/VBN with/IN AIDS/NN that/WDT often/RB those/DT associatedwith/VBNIN withAIDS/INNN AIDSthat/NNWDT thatoften/WDTRB oftenthose/RBDT associatedwithAIDS/VBNINNN withAIDSthat/INNNWDT AIDSthatoften/NNWDTRB thatoftenthose/WDTRBDT 2555505
of/IN schedule/NN which/WDT agents/NNS are/VBP asked/VBN ofschedule/INNN schedulewhich/NNWDT whichagents/WDTNNS agentsare/NNSVBP areasked/VBPVBN ofschedulewhich/INNNWDT schedulewhichagents/NNWDTNNS whichagentsare/WDTNNSVBP agentsareasked/NNSVBPVBN 2555505
_/NNP _/NNP This/NNP that/IN students/NNS then/RB __/NNPNNP _This/NNPNNP Thisthat/NNPIN thatstudents/INNNS studentsthen/NNSRB __This/NNPNNPNNP _Thisthat/NNPNNPIN Thisthatstudents/NNPINNNS thatstudentsthen/INNNSRB 2555505
profession/NN does/VBZ n't/RB that/IN you/PRP wo/MD professiondoes/NNVBZ doesn't/VBZRB n'tthat/RBIN thatyou/INPRP youwo/PRPMD professiondoesn't/NNVBZRB doesn'tthat/VBZRBIN n'tthatyou/RBINPRP thatyouwo/INPRPMD 2555505
_/FW _/FW I/NN sight/NN reading/NN is/VBZ __/FWFW _I/FWNN Isight/NNNN sightreading/NNNN readingis/NNVBZ __I/FWFWNN _Isight/FWNNNN Isightreading/NNNNNN sightreadingis/NNNNVBZ 2555502
_/FW _/FW I/NN radio/NN work/NN classes/NNS __/FWFW _I/FWNN Iradio/NNNN radiowork/NNNN workclasses/NNNNS __I/FWFWNN _Iradio/FWNNNN Iradiowork/NNNNNN radioworkclasses/NNNNNNS 2555502
_/CD AR/NNS You/PRP that/IN drama/NN students/NNS _AR/CDNNS ARYou/NNSPRP Youthat/PRPIN thatdrama/INNN dramastudents/NNNNS _ARYou/CDNNSPRP ARYouthat/NNSPRPIN Youthatdrama/PRPINNN thatdramastudents/INNNNNS 2555502
is/VBZ sensible/JJ I/NN it/PRP does/VBZ n't/RB issensible/VBZJJ sensibleI/JJNN Iit/NNPRP itdoes/PRPVBZ doesn't/VBZRB issensibleI/VBZJJNN sensibleIit/JJNNPRP Iitdoes/NNPRPVBZ itdoesn't/PRPVBZRB 2555502
per/IN cent/NN catholic/NN that/IN its/PRP$ moral/JJ percent/INNN centcatholic/NNNN catholicthat/NNIN thatits/INPRP$ itsmoral/PRP$JJ percentcatholic/INNNNN centcatholicthat/NNNNIN catholicthatits/NNINPRP$ thatitsmoral/INPRP$JJ 2555505
_/NNP This/NNP would/MD containing/VBG within/IN their/PRP$ _This/NNPNNP Thiswould/NNPMD wouldcontaining/MDVBG containingwithin/VBGIN withintheir/INPRP$ _Thiswould/NNPNNPMD Thiswouldcontaining/NNPMDVBG wouldcontainingwithin/MDVBGIN containingwithintheir/VBGINPRP$ 2555505
catholic/JJ nationalists/NNS concession/NN the/DT end/NN of/IN catholicnationalists/JJNNS nationalistsconcession/NNSNN concessionthe/NNDT theend/DTNN endof/NNIN catholicnationalistsconcession/JJNNSNN nationalistsconcessionthe/NNSNNDT concessiontheend/NNDTNN theendof/DTNNIN 2555505
_/NNP _/NNP This/NNP that/IN couples/NNS who/WP __/NNPNNP _This/NNPNNP Thisthat/NNPIN thatcouples/INNNS coupleswho/NNSWP __This/NNPNNPNNP _Thisthat/NNPNNPIN Thisthatcouples/NNPINNNS thatcoupleswho/INNNSWP 2555505
work/NN which/WDT may/MD very/RB little/JJ order/NN workwhich/NNWDT whichmay/WDTMD mayvery/MDRB verylittle/RBJJ littleorder/JJNN workwhichmay/NNWDTMD whichmayvery/WDTMDRB mayverylittle/MDRBJJ verylittleorder/RBJJNN 2555505
That/DT does/VBZ not/RB he/PRP wrote/VBD that/DT Thatdoes/DTVBZ doesnot/VBZRB nothe/RBPRP hewrote/PRPVBD wrotethat/VBDDT Thatdoesnot/DTVBZRB doesnothe/VBZRBPRP nothewrote/RBPRPVBD hewrotethat/PRPVBDDT 2555502
What/WP do/VBP I/PRP by/IN that/DT _/NN Whatdo/WPVBP doI/VBPPRP Iby/PRPIN bythat/INDT that_/DTNN WhatdoI/WPVBPPRP doIby/VBPPRPIN Ibythat/PRPINDT bythat_/INDTNN 2555502
_/FW _/FW I/PRP that/IN the/DT novel/NN __/FWFW _I/FWPRP Ithat/PRPIN thatthe/INDT thenovel/DTNN __I/FWFWPRP _Ithat/FWPRPIN Ithatthe/PRPINDT thatthenovel/INDTNN 2555502
more/JJR if/IN more/JJR meaning/NN wholeness/NN salvation/NN moreif/JJRIN ifmore/INJJR moremeaning/JJRNN meaningwholeness/NNNN wholenesssalvation/NNNN moreifmore/JJRINJJR ifmoremeaning/INJJRNN moremeaningwholeness/JJRNNNN meaningwholenesssalvation/NNNNNN 2555503
_/FW _/FW You/PRP the/DT ban/NN 's/POS __/FWFW _You/FWPRP Youthe/PRPDT theban/DTNN ban's/NNPOS __You/FWFWPRP _Youthe/FWPRPDT Youtheban/PRPDTNN theban's/DTNNPOS 2555502
_/FW _/FW I/PRP I/PRP 'm/VBP abandoning/VBG __/FWFW _I/FWPRP II/PRPPRP I'm/PRPVBP 'mabandoning/VBPVBG __I/FWFWPRP _II/FWPRPPRP II'm/PRPPRPVBP I'mabandoning/PRPVBPVBG 2555502
What/WP does/VBZ it/PRP standing/VBG there/RB in/IN Whatdoes/WPVBZ doesit/VBZPRP itstanding/PRPVBG standingthere/VBGRB therein/RBIN Whatdoesit/WPVBZPRP doesitstanding/VBZPRPVBG itstandingthere/PRPVBGRB standingtherein/VBGRBIN 2555502
of/IN pub/NN interiors/NNS real/JJ choice/NN for/IN ofpub/INNN pubinteriors/NNNNS interiorsreal/NNSJJ realchoice/JJNN choicefor/NNIN ofpubinteriors/INNNNNS pubinteriorsreal/NNNNSJJ interiorsrealchoice/NNSJJNN realchoicefor/JJNNIN 2555505
OPINION/NN Why/WRB holidays/NNS more/RBR work/VB THE/DT OPINIONWhy/NNWRB Whyholidays/WRBNNS holidaysmore/NNSRBR morework/RBRVB workTHE/VBDT OPINIONWhyholidays/NNWRBNNS Whyholidaysmore/WRBNNSRBR holidaysmorework/NNSRBRVB moreworkTHE/RBRVBDT 2555505
repeat/NN function/NN which/WDT repetitive/JJ text/NN need/NN repeatfunction/NNNN functionwhich/NNWDT whichrepetitive/WDTJJ repetitivetext/JJNN textneed/NNNN repeatfunctionwhich/NNNNWDT functionwhichrepetitive/NNWDTJJ whichrepetitivetext/WDTJJNN repetitivetextneed/JJNNNN 2555505
_/FW _/FW I/PRP you/PRP must/MD be/VB __/FWFW _I/FWPRP Iyou/PRPPRP youmust/PRPMD mustbe/MDVB __I/FWFWPRP _Iyou/FWPRPPRP Iyoumust/PRPPRPMD youmustbe/PRPMDVB 2555502
_/FW _/FW I/PRP do/VBP n't/RB you/PRP __/FWFW _I/FWPRP Ido/PRPVBP don't/VBPRB n'tyou/RBPRP __I/FWFWPRP _Ido/FWPRPVBP Idon't/PRPVBPRB don'tyou/VBPRBPRP 2555502
see/VB who/WP you/PRP Arabella/NNP Buckley/NNP said/VBD seewho/VBWP whoyou/WPPRP youArabella/PRPNNP ArabellaBuckley/NNPNNP Buckleysaid/NNPVBD seewhoyou/VBWPPRP whoyouArabella/WPPRPNNP youArabellaBuckley/PRPNNPNNP ArabellaBuckleysaid/NNPNNPVBD 2555502
_/FW _/FW I/PRP I/PRP 've/VBP hardly/RB __/FWFW _I/FWPRP II/PRPPRP I've/PRPVBP 'vehardly/VBPRB __I/FWFWPRP _II/FWPRPPRP II've/PRPPRPVBP I'vehardly/PRPVBPRB 2555502
_/FW _/FW I/PRP the/DT girl/NN was/VBD __/FWFW _I/FWPRP Ithe/PRPDT thegirl/DTNN girlwas/NNVBD __I/FWFWPRP _Ithe/FWPRPDT Ithegirl/PRPDTNN thegirlwas/DTNNVBD 2555502
that/DT does/VBZ n't/RB she/PRP killed/VBD him/PRP thatdoes/DTVBZ doesn't/VBZRB n'tshe/RBPRP shekilled/PRPVBD killedhim/VBDPRP thatdoesn't/DTVBZRB doesn'tshe/VBZRBPRP n'tshekilled/RBPRPVBD shekilledhim/PRPVBDPRP 2555505
_/FW _/FW You/PRP Belgium/NNP _/NNP _/NNP __/FWFW _You/FWPRP YouBelgium/PRPNNP Belgium_/NNPNNP __/NNPNNP __You/FWFWPRP _YouBelgium/FWPRPNNP YouBelgium_/PRPNNPNNP Belgium__/NNPNNPNNP 2555502
_/VB It/PRP will/MD tests/NNS of/IN course/NN _It/VBPRP Itwill/PRPMD willtests/MDNNS testsof/NNSIN ofcourse/INNN _Itwill/VBPRPMD Itwilltests/PRPMDNNS willtestsof/MDNNSIN testsofcourse/NNSINNN 2555505
What/WP do/VBP you/PRP by/IN that/DT _/NN Whatdo/WPVBP doyou/VBPPRP youby/PRPIN bythat/INDT that_/DTNN Whatdoyou/WPVBPPRP doyouby/VBPPRPIN youbythat/PRPINDT bythat_/INDTNN 2555502
know/VB what/WP you/PRP Mrs/NNP Doran/NNP said/VBD knowwhat/VBWP whatyou/WPPRP youMrs/PRPNNP MrsDoran/NNPNNP Doransaid/NNPVBD knowwhatyou/VBWPPRP whatyouMrs/WPPRPNNP youMrsDoran/PRPNNPNNP MrsDoransaid/NNPNNPVBD 2555502
_/FW _/FW She/NN you/PRP 're/VBP all/DT __/FWFW _She/FWNN Sheyou/NNPRP you're/PRPVBP 'reall/VBPDT __She/FWFWNN _Sheyou/FWNNPRP Sheyou're/NNPRPVBP you'reall/PRPVBPDT 2555502
Well/RB if/IN that/DT Nanny/NNP leaving/VBG I/PRP Wellif/RBIN ifthat/INDT thatNanny/DTNNP Nannyleaving/NNPVBG leavingI/VBGPRP Wellifthat/RBINDT ifthatNanny/INDTNNP thatNannyleaving/DTNNPVBG NannyleavingI/NNPVBGPRP 2555505
Lord/NNP Heptonstall/NNP you/PRP _/VBP _/FW _/FW LordHeptonstall/NNPNNP Heptonstallyou/NNPPRP you_/PRPVBP __/VBPFW __/FWFW LordHeptonstallyou/NNPNNPPRP Heptonstallyou_/NNPPRPVBP you__/PRPVBPFW ___/VBPFWFW 2555502
_/FW _/FW You/PRP round/VBP her/PRP$ window/NN __/FWFW _You/FWPRP Youround/PRPVBP roundher/VBPPRP$ herwindow/PRP$NN __You/FWFWPRP _Youround/FWPRPVBP Youroundher/PRPVBPPRP$ roundherwindow/VBPPRP$NN 2555502
_/VB Oh/UH you/PRP how/WRB is/VBZ it/PRP _Oh/VBUH Ohyou/UHPRP youhow/PRPWRB howis/WRBVBZ isit/VBZPRP _Ohyou/VBUHPRP Ohyouhow/UHPRPWRB youhowis/PRPWRBVBZ howisit/WRBVBZPRP 2555502
What/WP do/VBP you/PRP _/VB _/FW _/FW Whatdo/WPVBP doyou/VBPPRP you_/PRPVB __/VBFW __/FWFW Whatdoyou/WPVBPPRP doyou_/VBPPRPVB you__/PRPVBFW ___/VBFWFW 2555502
What/WP do/VBP you/PRP _/VB _/FW _/FW Whatdo/WPVBP doyou/VBPPRP you_/PRPVB __/VBFW __/FWFW Whatdoyou/WPVBPPRP doyou_/VBPPRPVB you__/PRPVBFW ___/VBFWFW 2555502
_/VB It/PRP would/MD a/DT reduced/VBN workload/NN _It/VBPRP Itwould/PRPMD woulda/MDDT areduced/DTVBN reducedworkload/VBNNN _Itwould/VBPRPMD Itwoulda/PRPMDDT wouldareduced/MDDTVBN areducedworkload/DTVBNNN 2555505
You/PRP do/VBP n't/RB all/PDT this/DT personally/RB Youdo/PRPVBP don't/VBPRB n'tall/RBPDT allthis/PDTDT thispersonally/DTRB Youdon't/PRPVBPRB don'tall/VBPRBPDT n'tallthis/RBPDTDT allthispersonally/PDTDTRB 2555502
_/FW _/FW I/PRP if/IN it/PRP was/VBD __/FWFW _I/FWPRP Iif/PRPIN ifit/INPRP itwas/PRPVBD __I/FWFWPRP _Iif/FWPRPIN Iifit/PRPINPRP ifitwas/INPRPVBD 2555502
What/WP do/VBP you/PRP by/IN us/PRP being/VBG Whatdo/WPVBP doyou/VBPPRP youby/PRPIN byus/INPRP usbeing/PRPVBG Whatdoyou/WPVBPPRP doyouby/VBPPRPIN youbyus/PRPINPRP byusbeing/INPRPVBG 2555502
I/PRP do/VBP n't/RB to/TO be/VB rude/JJ Ido/PRPVBP don't/VBPRB n'tto/RBTO tobe/TOVB berude/VBJJ Idon't/PRPVBPRB don'tto/VBPRBTO n'ttobe/RBTOVB toberude/TOVBJJ 2555501
I/PRP did/VBD n't/RB to/TO be/VB patronizing/VBG Idid/PRPVBD didn't/VBDRB n'tto/RBTO tobe/TOVB bepatronizing/VBVBG Ididn't/PRPVBDRB didn'tto/VBDRBTO n'ttobe/RBTOVB tobepatronizing/TOVBVBG 2555501
_/FW _/FW I/PRP it/PRP when/WRB I/PRP __/FWFW _I/FWPRP Iit/PRPPRP itwhen/PRPWRB whenI/WRBPRP __I/FWFWPRP _Iit/FWPRPPRP Iitwhen/PRPPRPWRB itwhenI/PRPWRBPRP 2555502
What/WP do/VBP you/PRP I/PRP must/MD have/VB Whatdo/WPVBP doyou/VBPPRP youI/PRPPRP Imust/PRPMD musthave/MDVB Whatdoyou/WPVBPPRP doyouI/VBPPRPPRP youImust/PRPPRPMD Imusthave/PRPMDVB 2555502
these/DT days/NNS I/PRP I/PRP 'm/VBP not/RB thesedays/DTNNS daysI/NNSPRP II/PRPPRP I'm/PRPVBP 'mnot/VBPRB thesedaysI/DTNNSPRP daysII/NNSPRPPRP II'm/PRPPRPVBP I'mnot/PRPVBPRB 2555502
_/FW _/FW You/PRP you/PRP 're/VBP moving/VBG __/FWFW _You/FWPRP Youyou/PRPPRP you're/PRPVBP 'removing/VBPVBG __You/FWFWPRP _Youyou/FWPRPPRP Youyou're/PRPPRPVBP you'removing/PRPVBPVBG 2555502
